"Nombre del Carro","Año de Fabricacion","Kilometraje Recorrido","Tipo de Combustible","Tipo de Vendedor","Tipo de Transmision","Numero de Propietarios Anteriores","Precio de Venta","Precio Original"
"Honda Dream Yuga",2017,8600,"Petrol","Individual","Manual",0,585.4,658.5
"Honda Activa 4G",2017,4000,"Petrol","Individual","Automatic",0,548.8,622
"Bajaj Avenger Street 220",2011,24000,"Petrol","Individual","Manual",0,548.8,1158.5
"TVS Apache RTR 180",2014,23000,"Petrol","Individual","Manual",0,548.8,1007.3
"Bajaj Pulsar NS 200",2012,14500,"Petrol","Individual","Manual",0,548.8,1207.3
"Bajaj Avenger 220 dtsi",2010,27000,"Petrol","Individual","Manual",0,548.8,1158.5
"Hero Splender iSmart",2016,14000,"Petrol","Individual","Manual",0,548.8,658.5
"Activa 3g",2016,500,"Petrol","Individual","Automatic",0,548.8,658.5
"Hero Passion Pro",2016,1000,"Petrol","Individual","Manual",0,548.8,670.7
"TVS Apache RTR 160",2014,42000,"Petrol","Individual","Manual",0,512.2,987.8
"Honda CB Trigger",2013,12000,"Petrol","Individual","Manual",0,512.2,890.2
"Hero Splender iSmart",2015,14000,"Petrol","Individual","Manual",0,487.8,658.5
"Yamaha FZ S",2012,5500,"Petrol","Individual","Manual",0,487.8,1012.2
"Hero Passion Pro",2015,6700,"Petrol","Individual","Manual",0,487.8,670.7
"Bajaj Pulsar 135 LS",2014,13700,"Petrol","Individual","Manual",0,487.8,780.5
"Activa 4g",2017,1300,"Petrol","Individual","Automatic",0,487.8,622
"Honda CB Unicorn",2015,38600,"Petrol","Individual","Manual",0,463.4,878
"Hero Honda CBZ extreme",2011,75000,"Petrol","Individual","Manual",0,463.4,959.8
"Honda Karizma",2011,30000,"Petrol","Individual","Manual",0,426.8,1280.5
"Honda Activa 125",2016,24000,"Petrol","Individual","Automatic",0,426.8,695.1
"TVS Jupyter",2014,19000,"Petrol","Individual","Automatic",0,426.8,634.1
"Honda Karizma",2010,213000,"Petrol","Individual","Manual",0,378,1280.5
"Hero Honda Passion Pro",2012,60000,"Petrol","Individual","Manual",0,365.9,622
"Hero Splender Plus",2016,50000,"Petrol","Individual","Manual",0,365.9,585.4
"Honda CB Shine",2013,30000,"Petrol","Individual","Manual",0,365.9,707.3
"Bajaj Discover 100",2013,21000,"Petrol","Individual","Manual",0,329.3,573.2
"Bajaj Pulsar 150",2008,26000,"Petrol","Individual","Manual",1,304.9,914.6
"Suzuki Access 125",2008,1900,"Petrol","Individual","Automatic",0,304.9,707.3
"TVS Wego",2010,22000,"Petrol","Individual","Automatic",0,304.9,634.1
"Honda CB twister",2013,32000,"Petrol","Individual","Manual",0,304.9,622
"Hero Glamour",2013,18000,"Petrol","Individual","Manual",0,304.9,695.1
"Hero Super Splendor",2005,55000,"Petrol","Individual","Manual",0,243.9,695.1
"Bajaj Pulsar 150",2008,60000,"Petrol","Individual","Manual",0,243.9,914.6
"Bajaj Discover 125",2012,25000,"Petrol","Individual","Manual",1,243.9,695.1
"Hero Hunk",2007,49000,"Petrol","Individual","Manual",1,243.9,914.6
"Hero  Ignitor Disc",2013,24000,"Petrol","Individual","Manual",1,243.9,792.7
"Hero  CBZ Xtreme",2008,50000,"Petrol","Individual","Manual",0,243.9,959.8
"Bajaj  ct 100",2015,35000,"Petrol","Individual","Manual",0,219.5,390.2
"Activa 3g",2008,500000,"Petrol","Individual","Automatic",0,207.3,634.1
"Honda CB twister",2010,33000,"Petrol","Individual","Manual",0,195.1,622
"Bajaj Discover 125",2011,35000,"Petrol","Individual","Manual",1,182.9,695.1
"Honda CB Shine",2007,53000,"Petrol","Individual","Manual",0,146.3,707.3
"Bajaj Pulsar 150",2006,92233,"Petrol","Individual","Manual",0,122,914.6
"i20",2010,58000,"Diesel","Dealer","Manual",1,3963.4,8280.5
"grand i10",2015,28200,"Petrol","Dealer","Manual",0,5365.9,6951.2
"i10",2011,53460,"Petrol","Dealer","Manual",0,3597.6,5609.8
"eon",2015,28282,"Petrol","Dealer","Manual",0,3353.7,5402.4
"grand i10",2016,3493,"Petrol","Dealer","Manual",1,6402.4,6951.2
"xcent",2017,12479,"Petrol","Dealer","Manual",0,7012.2,8695.1
"grand i10",2015,34797,"Petrol","Dealer","Automatic",0,6280.5,6951.2
"i20",2017,3435,"Petrol","Dealer","Manual",0,9634.1,9878
"grand i10",2015,21125,"Diesel","Dealer","Manual",0,5914.6,6951.2
"i10",2012,35775,"Petrol","Dealer","Manual",0,3780.5,5609.8
"elantra",2015,43535,"Diesel","Dealer","Manual",0,14329.3,18036.6
"creta",2016,22671,"Petrol","Dealer","Manual",0,13719.5,16585.4
"i20",2011,31604,"Petrol","Dealer","Manual",0,3536.6,8280.5
"grand i10",2017,20114,"Petrol","Dealer","Manual",0,6402.4,6951.2
"verna",2012,36100,"Petrol","Dealer","Manual",0,5487.8,11463.4
"eon",2016,12500,"Petrol","Dealer","Manual",0,3536.6,5402.4
"eon",2016,15000,"Petrol","Dealer","Manual",0,3841.5,5402.4
"verna",2014,45078,"Petrol","Dealer","Manual",0,7865.9,11463.4
"verna",2012,36000,"Petrol","Dealer","Manual",0,5487.8,11463.4
"eon",2017,38488,"Petrol","Dealer","Manual",0,4268.3,5402.4
"i20",2013,32000,"Petrol","Dealer","Automatic",0,5487.8,8280.5
"i20",2014,77632,"Diesel","Dealer","Manual",0,7317.1,9268.3
"verna",2015,61381,"Diesel","Dealer","Manual",0,10061,11463.4
"verna",2013,36198,"Petrol","Dealer","Automatic",0,6231.7,11463.4
"i10",2011,22517,"Petrol","Dealer","Manual",0,3292.7,5609.8
"grand i10",2015,24678,"Petrol","Dealer","Manual",0,6402.4,6951.2
"i10",2011,57000,"Petrol","Dealer","Manual",0,3109.8,5402.4
"verna",2012,60000,"Diesel","Dealer","Manual",0,6036.6,11463.4
"i20",2012,52132,"Diesel","Dealer","Manual",0,3780.5,8280.5
"verna",2013,45000,"Diesel","Dealer","Manual",0,7500,11463.4
"verna",2017,15001,"Petrol","Dealer","Manual",0,11280.5,11463.4
"elantra",2015,12900,"Petrol","Dealer","Automatic",0,13963.4,18036.6
"grand i10",2013,53000,"Diesel","Dealer","Manual",0,4756.1,6951.2
"grand i10",2015,4492,"Petrol","Dealer","Manual",0,6707.3,6951.2
"verna",2017,15141,"Petrol","Dealer","Manual",0,11097.6,11463.4
"eon",2016,11849,"Petrol","Dealer","Manual",0,3780.5,5402.4
"creta",2015,68000,"Diesel","Dealer","Manual",0,13719.5,16585.4
"verna",2013,60241,"Petrol","Dealer","Manual",0,5853.7,11463.4
"eon",2012,23709,"Petrol","Dealer","Manual",0,2439,5402.4
"verna",2012,32322,"Diesel","Dealer","Manual",0,6524.4,11463.4
"xcent",2015,35866,"Petrol","Dealer","Manual",1,5792.7,8695.1
"xcent",2014,34000,"Petrol","Dealer","Manual",0,5365.9,8695.1
"i20",2016,7000,"Petrol","Dealer","Manual",0,7622,9268.3
"verna",2013,49000,"Diesel","Dealer","Manual",0,7256.1,11463.4
"verna",2012,71000,"Diesel","Dealer","Manual",0,6341.5,11463.4
"i20",2012,35000,"Petrol","Dealer","Manual",0,4573.2,8280.5
"verna",2015,36000,"Petrol","Dealer","Manual",0,7256.1,11463.4
"i10",2013,30000,"Petrol","Dealer","Manual",0,4878,5609.8
"i20",2016,17000,"Petrol","Dealer","Manual",0,6402.4,9268.3
"creta",2016,35934,"Diesel","Dealer","Manual",0,15731.7,16585.4
"city",2013,56701,"Petrol","Dealer","Manual",0,6097.6,12073.2
"brio",2015,31427,"Petrol","Dealer","Automatic",0,6585.4,8317.1
"city",2014,48000,"Diesel","Dealer","Manual",0,8780.5,12073.2
"city",2013,54242,"Petrol","Dealer","Manual",0,6402.4,12073.2
"brio",2012,53675,"Petrol","Dealer","Manual",0,3658.5,6524.4
"city",2016,49562,"Petrol","Dealer","Manual",0,12500,16585.4
"city",2015,40324,"Petrol","Dealer","Manual",0,10365.9,16585.4
"city",2015,25000,"Petrol","Dealer","Manual",0,10243.9,16585.4
"amaze",2014,36054,"Petrol","Dealer","Manual",0,4756.1,8536.6
"city",2016,29223,"Petrol","Dealer","Manual",0,11158.5,16585.4
"brio",2016,5600,"Petrol","Dealer","Manual",0,6707.3,7280.5
"amaze",2015,40023,"Petrol","Dealer","Manual",0,4878,7073.2
"jazz",2016,16002,"Petrol","Dealer","Manual",0,8048.8,9390.2
"amaze",2015,40026,"Petrol","Dealer","Manual",0,4878,8536.6
"jazz",2017,21200,"Petrol","Dealer","Manual",0,7926.8,10609.8
"amaze",2014,35000,"Petrol","Dealer","Manual",0,4451.2,8536.6
"city",2016,19434,"Diesel","Dealer","Manual",0,10182.9,11463.4
"brio",2017,19000,"Petrol","Dealer","Manual",0,5853.7,7073.2
"city",2015,18828,"Petrol","Dealer","Manual",0,8170.7,12195.1
"city",2011,69341,"Petrol","Dealer","Manual",0,5000,12195.1
"city",2009,69562,"Petrol","Dealer","Manual",0,3658.5,12195.1
"city",2015,27600,"Petrol","Dealer","Manual",0,9146.3,12195.1
"jazz",2010,61203,"Petrol","Dealer","Manual",0,2743.9,9146.3
"brio",2014,16500,"Petrol","Dealer","Manual",0,6463.4,8292.7
"city",2016,30753,"Petrol","Dealer","Automatic",0,13292.7,16585.4
"city",2015,24800,"Petrol","Dealer","Manual",0,10548.8,16585.4
"city",2015,21780,"Petrol","Dealer","Manual",0,11829.3,16585.4
"jazz",2016,4000,"Petrol","Dealer","Manual",0,7317.1,10243.9
"city",2014,40126,"Petrol","Dealer","Manual",0,7622,16585.4
"brio",2015,14465,"Petrol","Dealer","Manual",0,6402.4,7195.1
"city",2006,50456,"Petrol","Dealer","Manual",0,2561,9268.3
"city",2014,63000,"Diesel","Dealer","Manual",0,10061,17073.2
"city",2016,9010,"Petrol","Dealer","Manual",0,10963.4,14390.2
"brio",2013,9800,"Petrol","Dealer","Manual",0,4268.3,7195.1
"jazz",2016,15059,"Petrol","Dealer","Automatic",0,9024.4,10365.9
"jazz",2016,28569,"Petrol","Dealer","Manual",0,6890.2,9634.1
"amaze",2015,44000,"Petrol","Dealer","Automatic",0,7012.2,9146.3
"city",2015,34000,"Petrol","Dealer","Manual",0,10243.9,16585.4
"city",2016,10980,"Petrol","Dealer","Manual",0,12329.3,16585.4
"amaze",2014,19000,"Petrol","Dealer","Manual",0,5487.8,7804.9
"brio",2015,31427,"Petrol","Dealer","Manual",0,6585.4,7439
"jazz",2016,12000,"Petrol","Dealer","Manual",0,7804.9,10243.9
"city",2010,38000,"Petrol","Dealer","Manual",0,3963.4,12073.2
"amaze",2014,33019,"Petrol","Dealer","Manual",0,4573.2,8292.7
"city",2015,60076,"Diesel","Dealer","Manual",0,10426.8,15963.4
"city",2016,33988,"Diesel","Dealer","Manual",0,11585.4,14146.3
"brio",2015,60000,"Petrol","Dealer","Manual",0,4878,7195.1
"city",2009,87934,"Petrol","Dealer","Manual",0,4085.4,13414.6
"city",2017,9000,"Diesel","Dealer","Manual",0,14024.4,15243.9
"brio",2016,5464,"Petrol","Dealer","Manual",0,6463.4,7195.1
